cause_name,age,age_name,incidence,cluster_3,cluster_4,cause_outline,incidence_rate
Acne vulgaris,95,95-99 years,-0.5213893082929931,Adult,Adult (early),B.9.7,1.3921487218681357e-4
Acute glomerulonephritis,0,0-1 years,-0.05150594674528212,Ageing-related,Ageing-related,B.8.3,5.158106916202856e-5
Acute glomerulonephritis,1,1-4 years,-0.8159909046425425,Ageing-related,Ageing-related,B.8.3,8.081217603126561e-5
Acute glomerulonephritis,5,5-9 years,-0.7851767068573552,Ageing-related,Ageing-related,B.8.3,1.369467764217222e-4
Acute glomerulonephritis,10,10-14 years,-0.9319182330231635,Ageing-related,Ageing-related,B.8.3,1.5882544527605347e-4
Acute glomerulonephritis,15,15-19 years,-1.067792741812504,Ageing-related,Ageing-related,B.8.3,1.2264485003919852e-4
Acute glomerulonephritis,20,20-24 years,-1.000473025694937,Ageing-related,Ageing-related,B.8.3,8.442679026872816e-5
Acute glomerulonephritis,25,25-29 years,-0.9420411370379572,Ageing-related,Ageing-related,B.8.3,6.560626258205208e-5
Acute glomerulonephritis,30,30-34 years,-0.8459442003439612,Ageing-related,Ageing-related,B.8.3,6.25842588949527e-5
Acute glomerulonephritis,35,35-39 years,-0.8086846377293821,Ageing-related,Ageing-related,B.8.3,6.81563136063692e-5
Acute glomerulonephritis,40,40-44 years,-0.6687653966154413,Ageing-related,Ageing-related,B.8.3,7.271626659499989e-5
Acute glomerulonephritis,45,45-49 years,-0.5551102216298273,Ageing-related,Ageing-related,B.8.3,7.723186875906246e-5
Acute glomerulonephritis,50,50-54 years,-0.3763368053409301,Ageing-related,Ageing-related,B.8.3,8.19656703871586e-5
Acute glomerulonephritis,55,55-59 years,-0.2896694599672154,Ageing-related,Ageing-related,B.8.3,9.158344062684284e-5
Acute glomerulonephritis,60,60-64 years,0.05263344288325683,Ageing-related,Ageing-related,B.8.3,1.0073348477535111e-4
Acute glomerulonephritis,65,65-69 years,0.609195416038283,Ageing-related,Ageing-related,B.8.3,9.920957666803814e-5
Acute glomerulonephritis,70,70-74 years,0.8882726489611978,Ageing-related,Ageing-related,B.8.3,9.240208807045424e-5
Acute glomerulonephritis,75,75-79 years,1.432592329001202,Ageing-related,Ageing-related,B.8.3,8.48087570781329e-5
Acute glomerulonephritis,80,80-84 years,1.813736375057045,Ageing-related,Ageing-related,B.8.3,8.195173388042595e-5
Acute glomerulonephritis,85,85-89 years,2.092975097000632,Ageing-related,Ageing-related,B.8.3,8.675362981312751e-5
Acute glomerulonephritis,90,90-94 years,1.284306826435307,Ageing-related,Ageing-related,B.8.3,8.440310943252429e-5
Acute glomerulonephritis,95,95-99 years,0.9656972820635694,Ageing-related,Ageing-related,B.8.3,8.542191281045337e-5
Acute hepatitis A,0,0-1 years,4.300793272287408,Infant,Infant,A.5.8.1,0.1786933985772946
Acute hepatitis A,1,1-4 years,0.8074187155832687,Infant,Infant,A.5.8.1,0.102286198042183
Acute hepatitis A,5,5-9 years,0.1101544366014484,Infant,Infant,A.5.8.1,0.0408383569190776
Acute hepatitis A,10,10-14 years,0.03095117120341939,Infant,Infant,A.5.8.1,0.023286425820911158
Acute hepatitis A,15,15-19 years,-0.1150308044430792,Infant,Infant,A.5.8.1,0.01582440761291688
Acute hepatitis A,20,20-24 years,-0.04082373847198512,Infant,Infant,A.5.8.1,0.011998266160288604
Acute hepatitis A,25,25-29 years,-0.3238317075968892,Infant,Infant,A.5.8.1,0.009789608630435452
Acute hepatitis A,30,30-34 years,-0.3453746604708073,Infant,Infant,A.5.8.1,0.008138074248793313
Acute hepatitis A,35,35-39 years,-0.3235068781788921,Infant,Infant,A.5.8.1,0.006568339471606493
Acute hepatitis A,40,40-44 years,-0.2122861447971358,Infant,Infant,A.5.8.1,0.005357762518735509
Acute hepatitis A,45,45-49 years,-0.2791299897471332,Infant,Infant,A.5.8.1,0.004320537287932637
Acute hepatitis A,50,50-54 years,-0.3043286774947612,Infant,Infant,A.5.8.1,0.0032927804398065704
Acute hepatitis A,55,55-59 years,-0.2558911991422957,Infant,Infant,A.5.8.1,0.0023327626977333463
Acute hepatitis A,60,60-64 years,-0.3381576645829065,Infant,Infant,A.5.8.1,0.0015902786972424511
Acute hepatitis A,65,65-69 years,-0.3320106996357022,Infant,Infant,A.5.8.1,0.0010759143812053332
Acute hepatitis A,70,70-74 years,-0.3289910654213387,Infant,Infant,A.5.8.1,7.504372494776048e-4
Acute hepatitis A,75,75-79 years,-0.299306516751123,Infant,Infant,A.5.8.1,4.327746338330823e-4
Acute hepatitis A,80,80-84 years,-0.3357809816043572,Infant,Infant,A.5.8.1,2.005835295074598e-4
Acute hepatitis A,85,85-89 years,-0.3968230807147583,Infant,Infant,A.5.8.1,7.775730582673557e-5
Acute hepatitis A,90,90-94 years,-0.4732878388664163,Infant,Infant,A.5.8.1,2.4663724479375343e-5
Acute hepatitis A,95,95-99 years,-0.5447559477559638,Infant,Infant,A.5.8.1,6.658041484323982e-6
Acute hepatitis B,0,0-1 years,4.377060416797689,Infant,Infant,A.5.8.2,0.0028445582688641333
Acute hepatitis B,1,1-4 years,-0.1861395055638307,Infant,Infant,A.5.8.2,0.002789122205823691
Acute hepatitis B,5,5-9 years,-0.5155767869520834,Infant,Infant,A.5.8.2,0.0029876426245780486
Acute hepatitis B,10,10-14 years,-0.522625997453351,Infant,Infant,A.5.8.2,0.0045751522858698
Acute hepatitis B,15,15-19 years,-0.418173746389062,Infant,Infant,A.5.8.2,0.007704304298779853
Acute hepatitis B,20,20-24 years,-0.1473547639781923,Infant,Infant,A.5.8.2,0.01436366152723739
Acute hepatitis B,25,25-29 years,-0.2567183015460024,Infant,Infant,A.5.8.2,0.016961094063743375
Acute hepatitis B,30,30-34 years,-0.218796507660293,Infant,Infant,A.5.8.2,0.016810900951575756
Acute hepatitis B,35,35-39 years,-0.1084781916214195,Infant,Infant,A.5.8.2,0.015711754736361865
Acute hepatitis B,40,40-44 years,-0.02298829614430663,Infant,Infant,A.5.8.2,0.014805328066147297
Acute hepatitis B,45,45-49 years,-8.539608810910972e-4,Infant,Infant,A.5.8.2,0.013542041902722278
Acute hepatitis B,50,50-54 years,-0.02614562909129611,Infant,Infant,A.5.8.2,0.012216823975343065
Acute hepatitis B,55,55-59 years,-0.0287522571327951,Infant,Infant,A.5.8.2,0.010389549668314901
Acute hepatitis B,60,60-64 years,0.0588607206453971,Infant,Infant,A.5.8.2,0.009263667327954956
Acute hepatitis B,65,65-69 years,0.05347676726578442,Infant,Infant,A.5.8.2,0.008496866433529744
Acute hepatitis B,70,70-74 years,-0.01081653074703958,Infant,Infant,A.5.8.2,0.007538545926160604
Acute hepatitis B,75,75-79 years,-0.1648412253700252,Infant,Infant,A.5.8.2,0.006596089274541678
Acute hepatitis B,80,80-84 years,-0.3183405974710276,Infant,Infant,A.5.8.2,0.005591770579154375
Acute hepatitis B,85,85-89 years,-0.4195913005176145,Infant,Infant,A.5.8.2,0.004573629339110539
Acute hepatitis B,90,90-94 years,-0.5318918391731452,Infant,Infant,A.5.8.2,0.0033989951880988327
Acute hepatitis B,95,95-99 years,-0.5913124670162966,Infant,Infant,A.5.8.2,0.0027037151504102196
Acute hepatitis C,0,0-1 years,3.96593971913476,Infant,Infant,A.5.8.3,0.003060141713168872
Acute hepatitis C,1,1-4 years,1.157693303806223,Infant,Infant,A.5.8.3,0.0019565288658067916
Acute hepatitis C,5,5-9 years,-0.4806207644613843,Infant,Infant,A.5.8.3,8.985342120353283e-4
Acute hepatitis C,10,10-14 years,-0.7276012173944991,Infant,Infant,A.5.8.3,5.48489433290452e-4
Acute hepatitis C,15,15-19 years,-0.5896769884351517,Infant,Infant,A.5.8.3,4.5088274117257557e-4
Acute hepatitis C,20,20-24 years,-0.438631988578939,Infant,Infant,A.5.8.3,4.086319228974006e-4
Acute hepatitis C,25,25-29 years,-0.7633732047453912,Infant,Infant,A.5.8.3,4.0333756396034894e-4
Acute hepatitis C,30,30-34 years,-0.5215072636022983,Infant,Infant,A.5.8.3,4.122398290856208e-4
Acute hepatitis C,35,35-39 years,-0.1672865123277486,Infant,Infant,A.5.8.3,4.5224799564774423e-4
Acute hepatitis C,40,40-44 years,0.1249519934631402,Infant,Infant,A.5.8.3,4.990588955237828e-4
Acute hepatitis C,45,45-49 years,0.2304036998447627,Infant,Infant,A.5.8.3,5.446192221805026e-4
Acute hepatitis C,50,50-54 years,0.316116375211431,Infant,Infant,A.5.8.3,5.783314295510666e-4
Acute hepatitis C,55,55-59 years,0.256262428255999,Infant,Infant,A.5.8.3,6.274860125617041e-4
Acute hepatitis C,60,60-64 years,0.100781432225074,Infant,Infant,A.5.8.3,6.814645238839706e-4
Acute hepatitis C,65,65-69 years,0.08812844397734515,Infant,Infant,A.5.8.3,7.430739680984738e-4
Acute hepatitis C,70,70-74 years,-0.05362496276438326,Infant,Infant,A.5.8.3,8.416035647396145e-4
Acute hepatitis C,75,75-79 years,-0.3809419935153408,Infant,Infant,A.5.8.3,9.59860913065596e-4
Acute hepatitis C,80,80-84 years,-0.1983650004196285,Infant,Infant,A.5.8.3,0.001137616726949622
Acute hepatitis C,85,85-89 years,-0.4378960704294817,Infant,Infant,A.5.8.3,0.001422984806821511
Acute hepatitis C,90,90-94 years,-0.6398037899651653,Infant,Infant,A.5.8.3,0.0016932362228603219
Acute hepatitis C,95,95-99 years,-0.8409476392793233,Infant,Infant,A.5.8.3,0.0019851964424893974
Acute hepatitis E,0,0-1 years,4.448695140812622,Infant,Infant,A.5.8.4,0.004890658099959609
Acute hepatitis E,1,1-4 years,0.1341382200578008,Infant,Infant,A.5.8.4,0.005670806415896865
Acute hepatitis E,5,5-9 years,-0.2018866129080998,Infant,Infant,A.5.8.4,0.006355125031120732
Acute hepatitis E,10,10-14 years,-0.1532512317934577,Infant,Infant,A.5.8.4,0.00463273543532125
Acute hepatitis E,15,15-19 years,-0.08960076739543255,Infant,Infant,A.5.8.4,0.0032769113028456236
Acute hepatitis E,20,20-24 years,-0.1160270885108563,Infant,Infant,A.5.8.4,0.0023389400678797516
Acute hepatitis E,25,25-29 years,-0.2821489440536566,Infant,Infant,A.5.8.4,0.0018320001072485135
Acute hepatitis E,30,30-34 years,-0.3112545196922691,Infant,Infant,A.5.8.4,0.0014878877344447134
Acute hepatitis E,35,35-39 years,-0.3046692959121552,Infant,Infant,A.5.8.4,0.0012584497597250548
Acute hepatitis E,40,40-44 years,-0.1998278450413178,Infant,Infant,A.5.8.4,0.0010603916233331845
Acute hepatitis E,45,45-49 years,-0.265915884073121,Infant,Infant,A.5.8.4,8.632107139685676e-4
Acute hepatitis E,50,50-54 years,-0.3549733238738506,Infant,Infant,A.5.8.4,7.460024759696982e-4
Acute hepatitis E,55,55-59 years,-0.3031549144427046,Infant,Infant,A.5.8.4,7.133260574400306e-4
Acute hepatitis E,60,60-64 years,-0.3165129799409389,Infant,Infant,A.5.8.4,7.435544113812241e-4
Acute hepatitis E,65,65-69 years,-0.2097003733730907,Infant,Infant,A.5.8.4,8.278518900059868e-4
Acute hepatitis E,70,70-74 years,-0.2343408278634249,Infant,Infant,A.5.8.4,9.653944029402539e-4
Acute hepatitis E,75,75-79 years,-0.2469443796153308,Infant,Infant,A.5.8.4,0.0011563463938639238
Acute hepatitis E,80,80-84 years,-0.2635062500025679,Infant,Infant,A.5.8.4,0.0014720567353266303
Acute hepatitis E,85,85-89 years,-0.2464866701213692,Infant,Infant,A.5.8.4,0.0019061136450460648
Acute hepatitis E,90,90-94 years,-0.2614644152047743,Infant,Infant,A.5.8.4,0.002419180122001951
Acute hepatitis E,95,95-99 years,-0.2211670370520032,Infant,Infant,A.5.8.4,0.0029996166489969665
Acute lymphoid leukemia,0,0-1 years,3.632254717614103,Infant,Infant,B.1.28.1,3.159143757620428e-5
Acute lymphoid leukemia,1,1-4 years,1.261091593370833,Infant,Infant,B.1.28.1,2.009956227639201e-5
Acute lymphoid leukemia,5,5-9 years,1.37149590905761,Infant,Infant,B.1.28.1,1.7980992552255216e-5
Acute lymphoid leukemia,10,10-14 years,0.633336153411527,Infant,Infant,B.1.28.1,1.1347197259836104e-5
Acute lymphoid leukemia,15,15-19 years,0.3369879705711581,Infant,Infant,B.1.28.1,1.3476088781473946e-5
Acute lymphoid leukemia,20,20-24 years,-0.1650684764763534,Infant,Infant,B.1.28.1,1.279566074433453e-5
Acute lymphoid leukemia,25,25-29 years,-0.4230516607437049,Infant,Infant,B.1.28.1,1.1121439881929737e-5
Acute lymphoid leukemia,30,30-34 years,-0.5811059064147795,Infant,Infant,B.1.28.1,1.255032077740168e-5
Acute lymphoid leukemia,35,35-39 years,-0.5862877029965902,Infant,Infant,B.1.28.1,1.5587881710157093e-5
Acute lymphoid leukemia,40,40-44 years,-0.5954350147747595,Infant,Infant,B.1.28.1,1.5080369930552734e-5
Acute lymphoid leukemia,45,45-49 years,-0.585527654993026,Infant,Infant,B.1.28.1,2.0587299645235122e-5
Acute lymphoid leukemia,50,50-54 years,-0.5056964612775763,Infant,Infant,B.1.28.1,2.4587000586183497e-5
Acute lymphoid leukemia,55,55-59 years,-0.3809650598238377,Infant,Infant,B.1.28.1,2.8628940142436595e-5
Acute lymphoid leukemia,60,60-64 years,-0.3117388451165488,Infant,Infant,B.1.28.1,3.572776530011377e-5
Acute lymphoid leukemia,65,65-69 years,-0.2190383576357127,Infant,Infant,B.1.28.1,4.173317332335802e-5
Acute lymphoid leukemia,70,70-74 years,-0.1759789058312198,Infant,Infant,B.1.28.1,4.800963689828973e-5
Acute lymphoid leukemia,75,75-79 years,-0.296619011300687,Infant,Infant,B.1.28.1,4.307704235189119e-5
Acute lymphoid leukemia,80,80-84 years,-0.3993048544974548,Infant,Infant,B.1.28.1,3.905325112167281e-5
Acute lymphoid leukemia,85,85-89 years,-0.4808145090309249,Infant,Infant,B.1.28.1,4.1063730791595325e-5
Acute lymphoid leukemia,90,90-94 years,-0.6872430609505888,Infant,Infant,B.1.28.1,2.8908908105589656e-5
Acute lymphoid leukemia,95,95-99 years,-0.8412908621614679,Infant,Infant,B.1.28.1,2.7208160883568387e-5
Acute myeloid leukemia,0,0-1 years,0.05612971297723822,Ageing-related,Ageing-related,B.1.28.3,1.2822086121066433e-5
Acute myeloid leukemia,1,1-4 years,-0.4308783689777002,Ageing-related,Ageing-related,B.1.28.3,9.27850750863434e-6
Acute myeloid leukemia,5,5-9 years,-1.05427299153491,Ageing-related,Ageing-related,B.1.28.3,4.517726133040096e-6
Acute myeloid leukemia,10,10-14 years,-1.022413147244127,Ageing-related,Ageing-related,B.1.28.3,4.631257340537402e-6
Acute myeloid leukemia,15,15-19 years,-0.8996771484100057,Ageing-related,Ageing-related,B.1.28.3,7.385713447146031e-6
Acute myeloid leukemia,20,20-24 years,-0.9816643200026869,Ageing-related,Ageing-related,B.1.28.3,6.378903312911537e-6
Acute myeloid leukemia,25,25-29 years,-0.9740106975012425,Ageing-related,Ageing-related,B.1.28.3,6.413756702313411e-6
Acute myeloid leukemia,30,30-34 years,-0.9800912196206873,Ageing-related,Ageing-related,B.1.28.3,6.2483285246454235e-6
Acute myeloid leukemia,35,35-39 years,-0.8703822304005807,Ageing-related,Ageing-related,B.1.28.3,7.64459634945999e-6
Acute myeloid leukemia,40,40-44 years,-0.7730323694088873,Ageing-related,Ageing-related,B.1.28.3,8.969450147970831e-6
Acute myeloid leukemia,45,45-49 years,-0.6708438193628329,Ageing-related,Ageing-related,B.1.28.3,1.1718893490111135e-5
Acute myeloid leukemia,50,50-54 years,-0.493402640750386,Ageing-related,Ageing-related,B.1.28.3,1.579913034146097e-5
Acute myeloid leukemia,55,55-59 years,-0.1061657374711041,Ageing-related,Ageing-related,B.1.28.3,2.239848487955979e-5
Acute myeloid leukemia,60,60-64 years,0.347940839645019,Ageing-related,Ageing-related,B.1.28.3,3.1805383506543855e-5
Acute myeloid leukemia,65,65-69 years,0.8855784493504267,Ageing-related,Ageing-related,B.1.28.3,4.614846217907605e-5
Acute myeloid leukemia,70,70-74 years,1.572193755410561,Ageing-related,Ageing-related,B.1.28.3,6.851775389401837e-5
Acute myeloid leukemia,75,75-79 years,1.874558227668285,Ageing-related,Ageing-related,B.1.28.3,9.123724105552796e-5
Acute myeloid leukemia,80,80-84 years,1.611705038015406,Ageing-related,Ageing-related,B.1.28.3,1.1282601929498062e-4
Acute myeloid leukemia,85,85-89 years,1.531260118293776,Ageing-related,Ageing-related,B.1.28.3,1.322345461433309e-4
Acute myeloid leukemia,90,90-94 years,0.9436718868148929,Ageing-related,Ageing-related,B.1.28.3,1.283212512912182e-4
Acute myeloid leukemia,95,95-99 years,0.4337966625095461,Ageing-related,Ageing-related,B.1.28.3,5.631410060953807e-4
Adverse effects of medical treatment,0,0-1 years,3.501248489499175,Infant,Infant,C.2.6,0.007879756551516416
Adverse effects of medical treatment,1,1-4 years,-0.04263091212139865,Infant,Infant,C.2.6,0.004027219839352221
Adverse effects of medical treatment,5,5-9 years,-0.8037397581664952,Infant,Infant,C.2.6,0.0016527166545436444
Adverse effects of medical treatment,10,10-14 years,-0.8779740630143786,Infant,Infant,C.2.6,0.0010551282063626555
Adverse effects of medical treatment,15,15-19 years,-0.8580280274166999,Infant,Infant,C.2.6,9.293045363897522e-4
Adverse effects of medical treatment,20,20-24 years,-0.6997823329481891,Infant,Infant,C.2.6,9.765116743778552e-4
Adverse effects of medical treatment,25,25-29 years,-0.7251263572397991,Infant,Infant,C.2.6,0.001101574894064993
Adverse effects of medical treatment,30,30-34 years,-0.7449111768123943,Infant,Infant,C.2.6,0.0012339511616821076
Adverse effects of medical treatment,35,35-39 years,-0.7013766543351472,Infant,Infant,C.2.6,0.001487558327406011
Adverse effects of medical treatment,40,40-44 years,-0.6263285612390744,Infant,Infant,C.2.6,0.0016838840585261267
Adverse effects of medical treatment,45,45-49 years,-0.5941346184598553,Infant,Infant,C.2.6,0.0018668296106119904
Adverse effects of medical treatment,50,50-54 years,-0.5707834742563486,Infant,Infant,C.2.6,0.0022225900188671587
Adverse effects of medical treatment,55,55-59 years,-0.3954293391969778,Infant,Infant,C.2.6,0.002933270814341104
Adverse effects of medical treatment,60,60-64 years,-0.08238682999583145,Infant,Infant,C.2.6,0.003772886139842398
Adverse effects of medical treatment,65,65-69 years,0.1147883733306414,Infant,Infant,C.2.6,0.005000750436712497
Adverse effects of medical treatment,70,70-74 years,0.25672004319217,Infant,Infant,C.2.6,0.007030523681326251
Adverse effects of medical treatment,75,75-79 years,0.4672248725625116,Infant,Infant,C.2.6,0.008047440961036397
Adverse effects of medical treatment,80,80-84 years,0.6132918347073142,Infant,Infant,C.2.6,0.007269977630383679
Adverse effects of medical treatment,85,85-89 years,0.7509417959382075,Infant,Infant,C.2.6,0.006970298673918853
Adverse effects of medical treatment,90,90-94 years,0.9214164219387653,Infant,Infant,C.2.6,0.007694768999642844
Adverse effects of medical treatment,95,95-99 years,1.097000274033802,Infant,Infant,C.2.6,0.009250476695860611
African trypanosomiasis,0,0-1 years,-1.107371149270837,Adult,Adult (early),A.4.4,0
African trypanosomiasis,1,1-4 years,0.2845970563710153,Adult,Adult (early),A.4.4,1.318431421738078e-7
African trypanosomiasis,5,5-9 years,1.91478716809262,Adult,Adult (early),A.4.4,3.295032029659341e-7
African trypanosomiasis,10,10-14 years,1.931096493243829,Adult,Adult (early),A.4.4,3.787067442103772e-7
African trypanosomiasis,15,15-19 years,1.519264977810117,Adult,Adult (early),A.4.4,3.60129034688165e-7
African trypanosomiasis,20,20-24 years,1.444446755055478,Adult,Adult (early),A.4.4,3.6651878950889017e-7
African trypanosomiasis,25,25-29 years,0.8812206932590175,Adult,Adult (early),A.4.4,3.261331787697313e-7
African trypanosomiasis,30,30-34 years,0.5988514996243387,Adult,Adult (early),A.4.4,3.009957152290126e-7
African trypanosomiasis,35,35-39 years,0.3553515429656619,Adult,Adult (early),A.4.4,2.8607875208931677e-7
African trypanosomiasis,40,40-44 years,0.07370523750766267,Adult,Adult (early),A.4.4,2.534388001512983e-7
African trypanosomiasis,45,45-49 years,-0.1412690280350484,Adult,Adult (early),A.4.4,2.169794587797232e-7
African trypanosomiasis,50,50-54 years,-0.3349708370100562,Adult,Adult (early),A.4.4,1.864473662479459e-7
African trypanosomiasis,55,55-59 years,-0.4380387578790155,Adult,Adult (early),A.4.4,1.763356790173595e-7
African trypanosomiasis,60,60-64 years,-0.5564445838050577,Adult,Adult (early),A.4.4,1.6114066365692108e-7
African trypanosomiasis,65,65-69 years,-0.7021374476550436,Adult,Adult (early),A.4.4,1.385678664035673e-7
African trypanosomiasis,70,70-74 years,-0.8012840088167081,Adult,Adult (early),A.4.4,1.270576598227373e-7
African trypanosomiasis,75,75-79 years,-0.878757794525585,Adult,Adult (early),A.4.4,1.165177396200291e-7
African trypanosomiasis,80,80-84 years,-0.9506359722491715,Adult,Adult (early),A.4.4,9.849440995232189e-8
African trypanosomiasis,85,85-89 years,-0.9882810920568064,Adult,Adult (early),A.4.4,9.32337485905017e-8
African trypanosomiasis,90,90-94 years,-1.033535016322515,Adult,Adult (early),A.4.4,8.2980234098362e-8
African trypanosomiasis,95,95-99 years,-1.0705957363039,Adult,Adult (early),A.4.4,6.15368520471102e-8
Age-related and other hearing loss,0,0-1 years,-0.8968186705236224,Ageing-related,Ageing-related,B.10.2,0
Age-related and other hearing loss,1,1-4 years,-0.8634878258837237,Ageing-related,Ageing-related,B.10.2,0
Age-related and other hearing loss,5,5-9 years,-0.8286709715391253,Ageing-related,Ageing-related,B.10.2,0
Age-related and other hearing loss,10,10-14 years,-0.8097759245151656,Ageing-related,Ageing-related,B.10.2,0
Age-related and other hearing loss,15,15-19 years,-0.794692016609277,Ageing-related,Ageing-related,B.10.2,0
Age-related and other hearing loss,20,20-24 years,-0.7730719922448482,Ageing-related,Ageing-related,B.10.2,0
Age-related and other hearing loss,25,25-29 years,-0.7339838271386946,Ageing-related,Ageing-related,B.10.2,0
Age-related and other hearing loss,30,30-34 years,-0.6924075366049366,Ageing-related,Ageing-related,B.10.2,0
Age-related and other hearing loss,35,35-39 years,-0.670428314753482,Ageing-related,Ageing-related,B.10.2,0
Age-related and other hearing loss,40,40-44 years,-0.6313599426252621,Ageing-related,Ageing-related,B.10.2,0
Age-related and other hearing loss,45,45-49 years,-0.5311994383756395,Ageing-related,Ageing-related,B.10.2,0
Age-related and other hearing loss,50,50-54 years,-0.4082347867832345,Ageing-related,Ageing-related,B.10.2,0
Age-related and other hearing loss,55,55-59 years,-0.2502071789392117,Ageing-related,Ageing-related,B.10.2,0
Age-related and other hearing loss,60,60-64 years,-0.04135236466934186,Ageing-related,Ageing-related,B.10.2,0
Age-related and other hearing loss,65,65-69 years,0.2425875058569399,Ageing-related,Ageing-related,B.10.2,0
Age-related and other hearing loss,70,70-74 years,0.5594350644533639,Ageing-related,Ageing-related,B.10.2,0
Age-related and other hearing loss,75,75-79 years,0.9428821363330914,Ageing-related,Ageing-related,B.10.2,0
Age-related and other hearing loss,80,80-84 years,1.343347115248056,Ageing-related,Ageing-related,B.10.2,0
Age-related and other hearing loss,85,85-89 years,1.72504181384483,Ageing-related,Ageing-related,B.10.2,0
Age-related and other hearing loss,90,90-94 years,2.024530812733653,Ageing-related,Ageing-related,B.10.2,0
Age-related and other hearing loss,95,95-99 years,2.08786634273563,Ageing-related,Ageing-related,B.10.2,0
Age-related macular degeneration,0,0-1 years,-0.6519609556418207,Ageing-related,Ageing-related,B.10.1.3,0
Age-related macular degeneration,1,1-4 years,-0.6519609556418207,Ageing-related,Ageing-related,B.10.1.3,0
Age-related macular degeneration,5,5-9 years,-0.6519609556418207,Ageing-related,Ageing-related,B.10.1.3,0
Age-related macular degeneration,10,10-14 years,-0.6519609556418207,Ageing-related,Ageing-related,B.10.1.3,0
Age-related macular degeneration,15,15-19 years,-0.6519609556418207,Ageing-related,Ageing-related,B.10.1.3,0
Age-related macular degeneration,20,20-24 years,-0.6519609556418207,Ageing-related,Ageing-related,B.10.1.3,0
Age-related macular degeneration,25,25-29 years,-0.6519609556418207,Ageing-related,Ageing-related,B.10.1.3,0
Age-related macular degeneration,30,30-34 years,-0.6519609556418207,Ageing-related,Ageing-related,B.10.1.3,0
Age-related macular degeneration,35,35-39 years,-0.6519609556418207,Ageing-related,Ageing-related,B.10.1.3,0
Age-related macular degeneration,40,40-44 years,-0.6519609556418207,Ageing-related,Ageing-related,B.10.1.3,0
Age-related macular degeneration,45,45-49 years,-0.6429195804801433,Ageing-related,Ageing-related,B.10.1.3,0
Age-related macular degeneration,50,50-54 years,-0.5763159772968078,Ageing-related,Ageing-related,B.10.1.3,0
Age-related macular degeneration,55,55-59 years,-0.4170499987000695,Ageing-related,Ageing-related,B.10.1.3,0
Age-related macular degeneration,60,60-64 years,-0.1687566363089223,Ageing-related,Ageing-related,B.10.1.3,0
Age-related macular degeneration,65,65-69 years,0.1120138347370241,Ageing-related,Ageing-related,B.10.1.3,0
Age-related macular degeneration,70,70-74 years,0.3641236835709799,Ageing-related,Ageing-related,B.10.1.3,0
Age-related macular degeneration,75,75-79 years,0.6299768906645409,Ageing-related,Ageing-related,B.10.1.3,0
Age-related macular degeneration,80,80-84 years,0.9274010181531871,Ageing-related,Ageing-related,B.10.1.3,0
Age-related macular degeneration,85,85-89 years,1.396748643014151,Ageing-related,Ageing-related,B.10.1.3,0
Age-related macular degeneration,90,90-94 years,1.96187173452505,Ageing-related,Ageing-related,B.10.1.3,0
Age-related macular degeneration,95,95-99 years,2.932515944539219,Ageing-related,Ageing-related,B.10.1.3,0
Alcohol use disorders,0,0-1 years,-1.444912333231784,Adult,Adult (early),B.7.1,1.34885399358178e-4
